"gender" "age" "attitude" "points" "deep" "surf" "stra"
"1" "F" 53 3.7 25 3.58333333333333 2.58333333333333 3.375
"2" "M" 55 3.1 12 2.91666666666667 3.16666666666667 2.75
"3" "F" 49 2.5 24 3.5 2.25 3.625
"4" "M" 53 3.5 10 3.5 2.25 3.125
"5" "M" 49 3.7 22 3.66666666666667 2.83333333333333 3.625
"6" "F" 38 3.8 21 4.75 2.41666666666667 3.625
"7" "M" 50 3.5 21 3.83333333333333 1.91666666666667 2.25
"8" "F" 37 2.9 31 3.25 2.83333333333333 4
"9" "M" 37 3.8 24 4.33333333333333 2.16666666666667 4.25
"10" "F" 42 2.1 26 4 3 3.5
"11" "M" 37 3.9 31 3.58333333333333 2.66666666666667 3.625
"12" "F" 34 3.8 31 3.83333333333333 2.41666666666667 4.75
"13" "F" 34 2.4 23 4.25 2.25 3.625
"14" "F" 34 3 25 3.33333333333333 2.75 3.5
"15" "M" 35 2.6 21 4.16666666666667 2.33333333333333 1.75
"16" "F" 33 4.1 31 3.66666666666667 2.33333333333333 3.875
"17" "F" 32 2.6 20 4.08333333333333 2.91666666666667 1.375
"18" "F" 44 2.6 22 3.5 2.5 3.25
"19" "M" 29 1.7 9 4.08333333333333 3.75 3
"20" "F" 30 2.7 24 4 2.75 3.75
"21" "M" 27 3.9 28 3.91666666666667 2.33333333333333 2.625
"22" "M" 29 3.4 30 4 2.41666666666667 2.375
"23" "F" 31 2.7 24 4 3 3.625
"24" "F" 37 2.3 9 3.66666666666667 2.41666666666667 2.75
"25" "F" 26 3.7 26 3.66666666666667 2.83333333333333 1.75
"26" "F" 26 4.4 32 4.41666666666667 3.16666666666667 3.25
"27" "M" 30 4.1 32 3.91666666666667 3 4
"28" "F" 33 3.7 33 3.75 2 3.625
"29" "F" 33 2.5 29 3.25 3.5 2.875
"30" "M" 28 3 30 3.58333333333333 3.75 3
"31" "M" 26 3.4 19 4.91666666666667 2.5 1.625
"32" "F" 27 3.2 23 3.58333333333333 2.08333333333333 3.25
"33" "F" 25 2 19 2.91666666666667 2.41666666666667 3.5
"34" "F" 31 2.4 12 3.66666666666667 2.58333333333333 3
"35" "M" 20 4.2 10 4.5 1.58333333333333 3.25
"36" "F" 39 1.6 11 4.08333333333333 2.83333333333333 1.875
"37" "M" 38 3.1 20 3.83333333333333 1.83333333333333 4.375
"38" "M" 24 3.8 26 3.25 2.41666666666667 3.625
"39" "M" 26 3.8 31 2.33333333333333 3.25 2.5
"40" "M" 25 3.3 20 3.33333333333333 3.41666666666667 1.25
"41" "F" 30 1.7 23 4.08333333333333 3.41666666666667 4
